gtin14,reason,source_sha256,product_name
00079621004049,piece_rate,29be6dd95e99941f95a45991460948e83da53d900aa3b4b1a421772d374394a0,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices per Pound, Gas Flushed"
00079621004063,piece_rate,97da790998e07a15696475d1fa2f50b529dcf6dc43068119b28ef8f84c49575c,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Bulk, 10-14 Slices Per Pound, Gas Flushed"
00079621004070,piece_rate,b7bb87645b1629c5e65b4a97ad5617e9e92f581b36c76b1cf80a443797053a13,"Wright Naturally Hickory Smoked Bulk Bacon, 9 Slices per Inch"
00079621004087,piece_rate,a918215de7ad9a4987d1cc71365eac3494bbf19dc00a95a68270d2a2004b51b8,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 6 Slices/Inch"
00079621004094,piece_rate,98bf0a387905e48eabaa197075141700215bd324fab9bf6f91174f793b1c63a4,"Wright Brand Naturally Applewood Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per pound, Gas Flushed"
00079621004162,piece_rate,6573362d479f794614426403c1238eda495d79573f7ef815fb688e81dbb8d117,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices per Pound, Gas Flushed"
00079621004179,piece_rate,e584530f234d0c15fc1f603bd94c171717026cd3d30cd26433e2ff40198aab4f,"Wright Brand Naturally Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices per Pound"
00079621004193,piece_rate,c8cde4a2ccdd7293648421c092d886897ae1364589aa7c713a47dea7d4451257,"Wright Brand Naturally Hickory Smoked Extra Thick Sliced Bacon, Flat-Pack, 8-10 Slices per Pound"
00079621004209,piece_rate,1d2b010cb2c37911c197581dc71186f7caca4801f50ea8ef332e18c9136d2000,"Wright Brand Naturally Hickory Smoked Thick Sliced Bacon, Flat-Pack, 10-14 Slices per Pound"
00079621004247,piece_rate,7647a5d5197b25bc2a608551285eca8525f6327ce14a619f44df5a97f5003595,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Bulk, 14-18 Slices per Pound, Gas Flushed"
00079621004285,piece_rate,fd34651a8ecc0f0b0e2df604497703a0f66585bdd18af6b07a3faa6b14122cc6,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Bulk, 18-22 Slices per Pound, Gas Flushed"
00079621004292,piece_rate,493e387be6ebdc7c82d983a70dc6b98cf8e4c5d7811a9d4d634078c5cf109607,"Wright Brand Naturally Hickory Smoked Thin Sliced Bacon, Flat Pack, 18-22 Slices per Pound, Gas Flushed"
00079621004308,piece_rate,2391949c21208b860d1b6a396afcc20f5ffd64302272d952bfbd429da815c1e7,"Wright Brand Naturally Applewood Smoked Regular Sliced Bacon, Flat-Pack, 14-18 Slices per Pound"
00079621004315,piece_rate,9f30570d7f3a0b1c1c591eb189ce429170b56a3b52893d5dbe96d9b89940ecef,"Wright Brand Naturally Applewood Smoked Thin Sliced Bacon, Flat-Pack, 18-22 Slices per Pound"
00079621004339,piece_rate,f8f443f96b14e496911ec94d07aa7b28c860437102e09a9c1c61b648dc5250cb,"Wright Brand Naturally Hickory Smoked Regular Sliced Bacon, Flat-Pack, 14-18 Slices per Pound, Gas Flushed"
